financial_year,Region,council,Population,premises_residential,premises_nonresidential,premises_with_garbage_service_residential,premises_with_garbage_service_nonresidential,garbage_service_frequency,garbage_collected_total_tonnes,garbage_collected_total_tonnes_estimated,premises_with_kerbside_recycling_service_residential,premises_with_kerbside_recycling_service_nonresidential,kerbside_recycling_service_frequency,kerbside_recycling_total_collected_tonnes,kerbside_recycling_total_recycled_tonnes,kerbside_recycling_glass_all_recycled_tonnes,kerbside_recycling_metal_recycled_tonnes,kerbside_recycling_paper_all_recycled_tonnes,kerbside_recycling_plastics_all_recycled_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,kerbside_organics_processed_tonnes,dropoff_garbage_collected_tonnes,dropoff_recycling_collected_tonnes,premises_with_kerbside_glass_service_residential,premises_with_kerbside_glass_service_nonresidential,kerbside_glass_service_frequency,kerbside_glass_total_collected_tonnes,premises_with_access_to_hardwaste_service_residential,hardwaste_collected_tonnes,hardwaste_disposed_tonnes,totaltonnes
2023-2024,Metropolitan,Stonnington,111513,60314,7055,60997,6171,Weekly,18920,,60997,6171,Fortnightly,7979.32,7181.39,2543.81,293.64,3625.8,,15768,Fortnightly,Yes,4976.97,4905.8,,,,,,,,1158,,31876.29
2023-2024,Goulburn Ovens Murray,Strathbogie,11684,3869,3697,4317,0,Fortnightly,1097,,4317,0,Fortnightly,948,758.4,302.2,34.88,430.7,,4538,Weekly,Yes,1768,1743.78,,135.9,,,,,,,,3813
2023-2024,Great South Coast Barwon,Surf Coast,39832,18850,3940,18954,1887,Fortnightly,4864.2,,20841,1887,Fortnightly,2778.3,2361.56,461.2,213.93,1361.37,,20841,Weekly,Yes,7871.6,7714.17,,,20841,1887,4 weekly,1390,,,,15514.1
2023-2024,Loddon Campaspe Mallee,Swan Hill,21166,7276,4540,8766,0,Weekly,5302.72,,8766,0,Fortnightly,1448.4,1235.49,,,,,1724,Fortnightly,No,652.51,619.88,,2,,,,,,,,7403.63
2023-2024,Goulburn Ovens Murray,Towong,6224,1730,2655,2801,794,Fortnightly,820.52,,2184,794,Fortnightly,445.2,364.45,,,,,1773,Weekly,Yes,41,41,,507.9,,,,,,,,1306.72
2023-2024,Goulburn Ovens Murray,Wangaratta,30138,12160,4167,12993,724,Fortnightly,4741,,12993,600,Fortnightly,2789.8,2594.51,10,20,20,,10653,Weekly,Yes,4839,4693.83,,10,,,,,,,,12369.8
2023-2024,Great South Coast Barwon,Warrnambool,35931,16217,1975,16784,150,Fortnightly,4775.64,,16784,41,Fortnightly,2367.26,1941.63,,,,,16784,Fortnightly,Yes,5855.31,5687.26,,,16784,13,Fortnightly,824.14,,,,12998.21
2023-2024,Gippsland,Wellington,46358,22156,5874,19859,642,Weekly,7748.12,,19859,642,Fortnightly,3323.7,2692.2,885.13,128.9,1168.87,,,,,0,,,190.01,,,,,,766.39,,11071.82
2023-2024,Wimmera Southern Mallee Central Highlands,West Wimmera,3910,1474,3051,1838,85,Weekly,1024.14,,1460,95,Fortnightly,156,127.7,,,,,,,,0,,,,,,,,,,,1180.14
2023-2024,Metropolitan,Whitehorse,178334,72461,6411,65015,3170,Weekly,24772.88,,65062,3251,Fortnightly,12766.18,11269.98,4069.86,469.79,5800.95,,50108,Fortnightly,Yes,18113.13,17207.47,,,,,,,,5125,,55652.19
2023-2024,Metropolitan,Whittlesea,248284,86961,9903,82608,4353,Weekly,45775.77,,82608,3937,Fortnightly,14662.28,11583.2,,,,,57568,Fortnightly,Yes,19377,18989.46,,,82608,0,Monthly,2602,,2360,,79815.05
2023-2024,Goulburn Ovens Murray,Wodonga,44629,18319,2423,18751,108,Fortnightly,5062.06,,18765,102,Fortnightly,3255,3020.64,778.15,118.59,2076.35,,18978,Fortnightly,Yes,8597,8578.09,,42.79,,,,,,34.2,,16914.06
2023-2024,Metropolitan,Wyndham,329496,107748,9431,109446,0,Weekly,59296,,109446,0,Fortnightly,20197,17829.91,6439,743,9177,,46665,Fortnightly,Yes,14265,13938.33,,1371,,,,,,7347,,93758
2023-2024,Metropolitan,Yarra,98265,51969,8387,38953,4816,Weekly,13066.04,,38953,4816,Fortnightly,3740.35,3179.3,,,,,,,,0,,,,38953,4816,Fortnightly,2099.43,,2395.55,,16806.39
2023-2024,Metropolitan,Yarra Ranges,159744,54375,11620,61644,2378,Fortnightly,21463.73,,61644,2378,Fortnightly,14921.2,13130.66,4756.88,549.1,6780.19,,61644,Weekly,Yes,29174.28,29031.33,,,,,,,,7412.2,,65559.21
2023-2024,Wimmera Southern Mallee Central Highlands,Yarriambiack,6374,3012,3641,3339,114,Weekly,1800.22,,2816,114,Fortnightly,363.17,319.59,,,,,,,,0,,,2.3,2816,110,bimonthly,74.4,,,,2163.39
